"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Kyle Pitts","TE","ATL","117","7.69","0.0713","108","129","-0.546","0","-13.7","132","130","256","14","6","135","4.35","20"
"Colston Loveland","TE","CHI","117","25.6","2.47","71","151","-0.618","-37","8.62","133","464","87","15","6","119","4.39","91"
"Rhamondre Stevenson","RB","NE","131","23.1","10.4","99.9","161","-1.82","-4.39","-1.65","145","161","144","36","10","116","4.29","58"
"Ricky Pearsall","WR","SF","160","23.4","0.14","129","199","-2","-10","0.0455","148","214","129","37","6","88.5","8.59","72"
"Matthew Golden","WR","GB","160","23.5","0.371","121","196","-2.14","-17.5","-3.04","149","287","156","38","6","95.7","8.06","78"
"Stefon Diggs","WR","NE","160","12","1.11","147","182","-2.51","8.53","-17.6","151","95","307","39","6","96.7","8.36","31"
"Dak Prescott","QB","DAL","293","12.7","3.49","276","311","-2.79","-1.64","-9.96","154","141","215","15","5","90.4","8.72","57"
"Dalton Kincaid","TE","BUF","115","5.06","0.407","108","121","-3.09","0.254","-21.8","157","127","357","16","6","134","2.68","6"
"Zach Ertz","TE","WAS","114","13.8","2.14","98.7","138","-3.5","-9.18","-4.58","161","205","170","17","6","145","2.43","49"
"Jauan Jennings","WR","SF","159","17","0.896","135","187","-3.62","-3.9","-12.4","162","154","243","40","6","115","4.85","44"
"Cooper Kupp","WR","SEA","158","24.6","1.57","135","198","-4.52","-3.52","-1.38","174","150","143","41","6","104","7.32","68"
"Hunter Henry","TE","NE","112","16.6","1.36","80.4","129","-5.64","-27.6","-13.7","184","394","255","18","6","149","2.25","63"
"Michael Pittman","WR","IND","156","12.1","2.54","136","170","-6.09","-2.37","-29","191","144","428","42","6","115","5.26","24"
"J.J. McCarthy","QB","MIN","289","18.2","4.52","270","321","-6.28","-7.49","0","193","187","130","16","5","129","3.23","66"
"Jonnu Smith","TE","PIT","111","19.9","6.1","81.2","143","-7","-26.7","0","200","385","130","19","7","143","1.84","86"
"Jordan Addison","WR","MIN","154","23.8","4.64","130","202","-8.62","-8.91","2.38","214","197","115","43","7","104","4.25","64"
"Drake Maye","QB","NE","285","18","2.38","257","302","-10.8","-19.8","-18.5","233","313","322","17","5","121","4.26","63"
"Jerome Ford","RB","CLE","120","27","2.16","98.7","176","-12.2","-5.54","13.7","250","172","76","37","11","137","3.75","83"
"Brenton Strange","TE","JAC","105","12.5","1.21","89.5","123","-13.1","-18.5","-19.7","255","295","337","20","7","170","2.69","46"
"C.J. Stroud","QB","HOU","283","16.4","0.783","258","304","-13.2","-19.5","-16.6","256","309","295","18","5","126","3.84","54"
"Jayden Reed","WR","GB","149","24","0.334","108","187","-13.3","-30.5","-12.4","258","426","244","44","7","125","2.51","71"
"Emeka Egbuka","WR","TB","149","19.6","0.597","128","185","-13.6","-10.9","-14.1","261","222","266","45","7","91.7","11.1","65"
"Trevor Lawrence","QB","JAC","282","14.9","2.47","258","302","-14","-19","-18.9","264","298","325","19","6","135","3.59","31"
"Rashee Rice","WR","KC","148","28.8","0.973","116","199","-14.2","-23.1","0","271","354","130","46","7","77.6","9.41","85"
"Cade Otton","TE","TB","104","12.8","1.12","87.5","122","-14.3","-20.4","-20.5","273","324","348","21","7","160","1.65","54"
"Rachaad White","RB","TB","118","16.1","1.34","94","139","-14.4","-10.3","-23.3","276","217","375","38","11","137","2.77","49"
"Khalil Shakir","WR","BUF","147","17.2","0.476","121","175","-15.2","-17.2","-24.3","284","284","386","47","7","115","4.28","38"
"Chigoziem Okonkwo","TE","TEN","103","12.6","1.57","87.6","122","-15.4","-20.3","-20.4","289","323","346","22","7","172","2.13","71"
"Rashid Shaheed","WR","NO","147","10.1","0.545","131","160","-15.6","-7.7","-38.8","294","188","498","48","7","144","2.64","15"
"Quinshon Judkins","RB","CLE","117","38.2","1.15","69.7","184","-15.7","-34.5","22.1","295","448","59","39","11","120","3.83","96"
"Chris Godwin","WR","TB","146","27.6","1.18","123","201","-16.2","-15.2","1.86","302","261","116","49","7","112","5.38","83"
"Jordan Love","QB","GB","279","13.9","9.82","258","301","-16.4","-19.4","-19.1","306","308","329","20","6","124","4.6","34"
"Jacory Croskey-Merritt","RB","WAS","116","45.6","0.467","23.3","153","-16.9","-81","-9.5","318","585","210","40","11","99","10.8","93"
