#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
735,Jonas Sanker,NO,DB,FS,17,,114.0,9.6,5.3,4.3,0.3,0.0,0.6,0.1,0.1,0.0,0.0,0.0,2,14.1
736,Christian Braswell,JAC,DB,CB,17,,111.0,9.0,4.7,4.2,0.3,0.0,1.2,0.1,0.1,0.1,0.0,0.0,2,14.1
737,Esezi Otomewo,PIT,DL,DE,17,,102.0,8.2,3.2,4.4,0.9,0.6,0.3,0.1,0.1,0.1,0.0,0.0,1,14.1
738,Daijahn Anthony,CIN,DB,SS,13,,91.0,9.6,5.1,4.5,0.4,0.1,0.6,0.1,0.1,0.0,0.0,0.0,1,14.0
739,Miles Killebrew,PIT,DB,SS,17,,110.0,9.2,4.9,4.3,0.3,0.1,0.7,0.1,0.1,0.1,0.0,0.0,2,14.0
740,Kevin Winston Jr.,TEN,DB,SS,17,,108.0,9.6,5.1,4.5,0.3,0.0,0.7,0.1,0.1,0.1,0.0,0.0,2,14.0
741,Cedric Johnson,CIN,DL,DE,13,,78.0,7.8,2.9,4.1,0.8,0.9,0.3,0.1,0.1,0.0,0.0,0.0,1,13.9
742,Logan Lee,PIT,DL,DE,17,,102.0,7.6,2.8,4.0,0.8,0.8,0.3,0.1,0.1,0.1,0.0,0.0,2,13.8
743,Amen Ogbongbemiga,CHI,LB,LOLB,13,,84.0,8.4,3.1,4.3,0.5,0.9,0.3,0.0,0.1,0.0,0.0,0.0,1,13.8
744,Dominique Robinson,CHI,DL,DE,17,,102.0,8.4,3.3,4.7,0.9,0.4,0.3,0.0,0.1,0.1,0.0,0.0,1,13.5
745,Pat O’Connor,DET,DL,DE,17,,102.0,8.1,3.1,4.4,0.9,0.6,0.2,0.1,0.1,0.1,0.0,0.0,1,13.4
746,Mekhi Wingo,DET,DL,DT,17,,102.0,8.8,3.4,5.2,1.0,0.3,0.2,0.1,0.1,0.1,0.0,0.0,1,13.4
747,Dylan Horton,HOU,DL,DE,17,,102.0,8.6,3.5,4.9,1.0,0.2,0.3,0.0,0.1,0.1,0.0,0.0,1,13.4
748,Marcus Harris,TEN,DB,CB,17,,120.0,8.5,4.5,4.0,0.2,0.0,1.2,0.1,0.1,0.1,0.0,0.0,2,13.3
749,Tyler Lacy,DET,DL,DT,17,,102.0,8.8,3.5,5.3,1.0,0.1,0.2,0.0,0.1,0.1,0.0,0.0,1,12.9
750,Tyler Baron,NYJ,DL,DE,17,,102.0,8.4,3.5,4.9,1.0,0.0,0.3,0.1,0.1,0.1,0.0,0.0,2,12.8
751,Payton Turner,DAL,DL,DE,13,,78.0,7.0,2.7,3.8,0.8,0.6,0.6,0.0,0.1,0.0,0.0,0.0,1,12.7
752,Ethan Bonner,MIA,DB,CB,17,Q,117.0,7.8,4.1,3.6,0.2,0.0,1.2,0.1,0.1,0.1,0.0,0.0,2,12.6
753,Rodney Thomas,IND,DB,SS,17,,86.0,8.6,4.6,4.0,0.3,0.0,0.5,0.1,0.1,0.1,0.0,0.0,2,12.6
754,Jeremy Reaves,WAS,DB,SS,17,,84.0,8.5,4.5,4.0,0.3,0.1,0.6,0.1,0.1,0.0,0.0,0.0,2,12.6
755,DeWayne Carter,BUF,DL,DT,17,,102.0,7.9,3.0,4.6,0.9,0.2,0.3,0.1,0.1,0.1,0.0,0.0,1,12.6
