#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
1,Roquan Smith,BAL,LB,ILB,17,,920.0,162.8,77.7,83.7,10.4,1.5,4.1,1.0,1.4,0.7,0.0,0.2,16,226.4
2,Jamien Sherwood,NYJ,LB,MLB,17,,948.0,155.1,72.8,80.3,10.1,2.5,2.8,0.4,1.0,0.5,0.1,0.1,8,212.4
3,Kenneth Murray,DAL,LB,ILB,17,,936.0,145.3,68.2,73.5,9.1,4.1,3.0,0.7,1.0,0.5,0.1,0.2,13,207.3
4,Alex Singleton,DEN,LB,RILB,17,,990.0,152.3,65.5,85.2,9.7,1.6,4.6,0.8,1.1,0.5,0.0,0.2,14,206.8
5,Jordyn Brooks,MIA,LB,LILB,17,,971.0,142.0,63.8,74.0,8.7,4.3,4.3,0.6,1.2,0.6,0.1,0.1,11,203.3
6,Robert Spillane,NE,LB,LILB,17,,972.0,140.9,64.1,74.3,9.1,2.6,3.4,1.7,1.0,0.5,0.1,0.3,25,201.8
7,Logan Wilson,CIN,LB,MLB,17,,1006.0,145.0,68.4,75.5,9.1,1.1,2.6,1.1,1.1,0.5,0.0,0.2,18,199.3
8,Zaire Franklin,IND,LB,MLB,17,Q,987.0,141.0,66.1,73.0,8.9,1.8,4.7,0.7,1.2,0.6,0.0,0.2,13,197.8
9,Kaden Elliss,ATL,LB,RILB,17,,980.0,137.4,58.0,75.4,8.4,5.0,2.8,0.7,1.0,0.5,0.1,0.2,12,195.6
10,Demario Davis,NO,LB,MLB,17,,992.0,133.6,61.6,68.0,9.0,4.5,4.3,0.7,0.9,0.4,0.1,0.1,12,195.3
11,Fred Warner,SF,LB,MLB,17,,906.0,128.6,60.2,66.4,8.2,2.5,6.1,2.1,1.1,0.6,0.1,0.3,32,195.2
12,Zack Baun,PHI,LB,LILB,17,,918.0,133.9,60.2,69.8,8.2,3.8,3.4,1.2,1.0,0.5,0.1,0.2,19,192.6
13,Ernest Jones,SEA,LB,ILB,17,,959.0,131.0,62.0,66.8,8.7,2.5,4.3,0.6,1.1,0.5,0.1,0.1,11,187.4
14,Budda Baker,ARI,DB,FS,17,,977.0,134.9,73.9,59.8,5.1,1.3,4.1,0.4,1.1,0.5,0.0,0.1,9,186.5
15,Bobby Wagner,WAS,LB,MLB,17,,969.0,132.7,61.9,68.3,9.2,2.3,2.9,0.3,1.0,0.5,0.1,0.1,7,184.4
16,Germaine Pratt,LV,LB,SLB,17,,950.0,122.9,64.0,57.7,8.0,1.2,4.6,1.7,1.1,0.5,0.0,0.3,26,184.0
17,Bobby Okereke,NYG,LB,LILB,17,,988.0,127.9,58.3,67.5,8.2,2.4,4.2,1.0,1.1,0.5,0.1,0.2,16,182.7
18,Daiyan Henley,LAC,LB,RILB,17,,909.0,135.0,58.3,75.7,8.3,1.1,5.9,0.3,0.9,0.5,0.0,0.1,6,181.8
19,Blake Cashman,MIN,LB,LILB,17,,938.0,123.4,55.3,64.2,7.3,3.7,6.1,0.7,1.2,0.6,0.1,0.1,12,180.7
20,Lavonte David,TB,LB,ILB,17,,940.0,120.6,55.9,60.2,7.2,4.4,4.6,0.7,1.2,0.6,0.1,0.2,13,179.9
21,Terrel Bernard,BUF,LB,MLB,17,Q,864.0,117.8,54.3,59.9,7.2,3.8,3.8,1.8,1.2,0.6,0.1,0.3,28,179.9
22,Christian Rozeboom,CAR,LB,ILB,17,,800.0,127.7,61.2,65.9,8.5,0.8,3.9,1.2,0.7,0.4,0.0,0.2,18,178.8
23,Kyle Hamilton,BAL,DB,SS,17,,912.0,111.1,57.8,51.0,3.9,2.4,7.3,2.3,1.3,0.7,0.0,0.3,38,175.0
24,Patrick Queen,PIT,LB,ILB,17,,986.0,121.0,57.4,61.9,7.3,1.8,5.6,0.6,1.2,0.6,0.0,0.1,11,173.4
25,Foye Oluokun,JAC,LB,MLB,17,,886.0,118.7,55.6,61.4,7.4,2.0,5.5,1.0,0.9,0.4,0.0,0.2,16,172.1
26,Nick Cross,IND,DB,SS,17,Q,987.0,116.8,61.6,54.4,4.4,0.7,5.5,2.0,1.2,0.6,0.0,0.3,32,171.8
27,Frankie Luvu,WAS,LB,WLB,17,,955.0,102.6,51.2,44.9,6.4,6.0,6.4,0.7,1.0,0.5,0.1,0.1,12,167.4
28,Brian Branch,DET,DB,SS,17,,893.0,100.4,52.8,46.6,3.7,1.2,12.8,2.6,0.9,0.4,0.0,0.3,40,165.1
29,Tyrel Dodson,MIA,LB,RILB,17,,894.0,118.0,50.3,65.4,6.9,2.3,3.1,1.0,1.1,0.5,0.0,0.2,16,164.9
30,Nick Bolton,KC,LB,MLB,17,,933.0,113.9,53.2,58.7,7.1,2.0,4.2,1.0,1.0,0.5,0.0,0.2,17,164.6
31,Quay Walker,GB,LB,MLB,17,,862.0,116.9,54.5,60.2,7.1,2.1,3.0,0.6,1.1,0.5,0.0,0.1,11,164.2
32,Antoine Winfield Jr.,TB,DB,FS,17,,882.0,101.3,54.0,43.7,3.9,3.5,5.2,2.0,1.2,0.6,0.1,0.3,32,161.8
33,Grant Delpit,CLE,DB,FS,17,,977.0,113.4,61.9,50.1,4.5,1.4,2.9,0.9,1.1,0.6,0.0,0.1,16,161.5
34,T.J. Edwards,CHI,LB,LOLB,17,,981.0,113.8,46.4,64.4,6.6,2.9,3.4,1.3,1.0,0.5,0.1,0.2,20,161.3
35,Micah McFadden,NYG,LB,RILB,17,,757.0,117.0,49.8,64.7,7.5,2.8,2.1,0.6,0.8,0.4,0.1,0.1,10,161.2
36,Jack Campbell,DET,LB,MLB,17,,881.0,114.5,53.6,59.1,7.6,1.9,4.1,0.2,0.9,0.4,0.0,0.1,4,160.3
37,Quincy Williams,NYJ,LB,LOLB,17,,1006.0,114.6,47.0,65.3,7.2,2.6,2.6,0.7,1.0,0.5,0.1,0.2,12,158.9
38,Jaquan Brisker,CHI,DB,SS,17,,964.0,103.8,54.3,47.9,3.9,1.5,6.6,1.2,1.0,0.5,0.0,0.2,21,154.4
39,Azeez Al-Shaair,HOU,LB,MLB,17,,823.0,110.0,51.3,56.6,7.3,1.8,4.2,0.2,0.9,0.4,0.0,0.1,4,153.8
40,Henry To’oTo’o,HOU,LB,ROLB,17,,872.0,114.5,47.1,65.9,7.0,1.3,2.7,0.5,0.9,0.5,0.0,0.1,9,152.2
41,Kamren Kinchens,LAR,DB,FS,17,,885.0,89.5,49.4,40.0,3.1,0.2,7.9,3.9,1.0,0.5,0.0,0.5,61,151.2
42,DeShon Elliott,PIT,DB,SS,17,,863.0,104.5,55.4,49.0,3.9,0.1,6.8,0.7,1.0,0.5,0.0,0.1,13,148.4
43,T.J. Watt,PIT,LB,LOLB,17,,851.0,77.2,26.9,37.3,4.2,14.1,3.1,0.6,1.0,0.5,0.2,0.1,11,148.1
44,Jessie Bates III,ATL,DB,FS,17,,978.0,82.0,45.1,36.5,3.1,0.6,8.8,4.4,1.0,0.5,0.0,0.5,68,147.8
45,Derwin James Jr.,LAC,DB,SS,17,,954.0,92.9,47.5,41.9,3.3,4.2,6.4,1.1,1.0,0.5,0.1,0.2,18,147.8
46,Kevin Byard,CHI,DB,FS,17,,981.0,100.5,55.3,44.7,4.1,0.5,6.9,0.8,1.0,0.5,0.0,0.1,15,147.6
47,Andrew Van Ginkel,MIN,LB,WLB,17,,824.0,82.3,39.2,34.3,4.8,8.0,4.7,1.2,1.0,0.5,0.1,0.2,19,147.3
48,Trevon Moehrig,CAR,DB,FS,17,,989.0,90.9,49.5,40.0,3.4,1.7,8.1,2.1,0.9,0.5,0.0,0.2,33,147.1
49,Brandon Jones,DEN,DB,SS,17,,882.0,93.2,49.5,43.7,3.3,0.1,8.7,2.5,1.0,0.5,0.0,0.3,39,146.9
50,Myles Garrett,CLE,DL,DE,17,,779.0,74.8,25.1,35.4,6.9,14.5,1.8,0.4,0.9,0.4,0.2,0.1,7,146.7
51,Tyrice Knight,SEA,LB,LILB,17,Q,712.0,106.0,48.5,56.2,6.6,1.5,3.2,0.4,0.8,0.4,0.0,0.1,8,146.6
52,Cody Barton,TEN,LB,MLB,17,,907.0,99.8,47.0,51.9,6.3,1.1,4.0,1.3,0.9,0.4,0.0,0.2,20,145.6
53,Maxx Crosby,LV,DL,DE,17,,970.0,75.2,26.6,37.5,7.3,11.5,5.1,0.3,1.1,0.5,0.2,0.1,7,145.5
54,Xavier Woods,TEN,DB,SS,17,,997.0,97.3,51.6,45.6,3.6,0.1,4.8,2.3,1.0,0.5,0.0,0.3,36,145.1
55,Tyler Nubin,NYG,DB,SS,17,,975.0,105.5,56.0,49.4,4.2,0.1,3.4,0.5,1.1,0.5,0.0,0.1,10,144.5
56,Pete Werner,NO,LB,WLB,17,,855.0,101.5,53.9,47.1,6.8,0.6,2.5,0.6,0.7,0.4,0.0,0.1,11,144.2
57,Aidan Hutchinson,DET,DL,DE,17,,798.0,77.5,27.4,38.7,7.5,11.6,1.8,0.7,0.8,0.4,0.2,0.1,11,144.0
58,Jalen Thompson,ARI,DB,SS,17,,974.0,94.5,49.9,44.1,3.5,0.7,4.1,2.4,1.1,0.5,0.0,0.3,39,143.8
59,Ivan Pace,MIN,LB,RILB,17,,617.0,103.9,43.9,57.1,6.6,2.7,1.5,0.6,0.8,0.4,0.1,0.1,10,143.4
60,Justin Reid,NO,DB,SS,17,,992.0,92.2,48.2,42.6,3.2,1.6,7.4,1.7,0.9,0.4,0.0,0.2,28,143.3
61,Jeremy Chinn,LV,DB,FS,17,,950.0,96.3,52.5,42.4,3.7,1.6,4.2,1.0,1.1,0.5,0.0,0.2,18,143.0
62,Quentin Lake,LAR,DB,S,17,,951.0,94.2,58.5,34.5,3.7,1.6,4.5,0.4,1.1,0.5,0.0,0.1,8,143.0
63,Devin Lloyd,JAC,LB,LOLB,17,,793.0,106.1,44.1,61.2,6.7,1.0,3.0,0.6,0.8,0.4,0.0,0.1,11,142.6
64,Julian Love,SEA,DB,SS,17,,947.0,89.2,47.4,41.8,3.4,0.1,8.1,2.5,1.1,0.5,0.0,0.3,40,142.5
65,Tremaine Edmunds,CHI,LB,MLB,17,,981.0,95.1,44.9,49.6,6.1,0.6,5.0,1.6,1.0,0.5,0.0,0.3,24,142.2
66,Luke Gifford,SF,LB,WLB,17,,647.0,92.6,48.7,42.6,6.1,1.7,3.7,1.2,0.8,0.4,0.0,0.2,19,142.0
67,Nick Bosa,SF,DL,DE,17,Q,756.0,70.2,25.2,35.5,6.9,12.6,1.8,0.6,0.9,0.5,0.2,0.2,11,141.1
68,Daron Bland,DAL,DB,CB,17,,971.0,81.7,43.4,38.3,2.2,0.0,11.4,3.3,1.1,0.5,0.0,0.4,51,140.6
69,Amani Hooker,TEN,DB,SS,17,,961.0,85.8,45.5,40.2,3.4,0.1,8.9,2.8,0.9,0.5,0.0,0.3,44,140.4
70,Harold Landry III,NE,LB,OLB,17,,825.0,79.5,34.9,35.6,5.0,9.5,3.8,0.2,0.8,0.4,0.1,0.1,4,139.1
71,Jeffery Simmons,TEN,DL,DE,17,,810.0,78.8,30.1,42.5,8.5,7.8,3.7,0.3,0.8,0.4,0.1,0.1,6,138.1
72,Donovan Wilson,DAL,DB,SS,17,,921.0,90.5,47.1,41.6,3.5,2.1,5.5,0.9,1.0,0.5,0.0,0.1,15,136.8
73,Drue Tranquill,KC,LB,LOLB,17,Q,777.0,97.1,39.1,54.3,5.9,3.8,2.4,0.2,0.8,0.4,0.1,0.1,5,136.6
74,Julian Blackmon,NO,DB,FS,17,,1020.0,86.4,47.6,38.5,3.1,0.3,3.5,3.2,0.9,0.4,0.0,0.4,49,136.5
75,Jonathan Greenard,MIN,LB,LOLB,17,,820.0,77.6,27.2,37.8,4.1,11.7,2.5,0.3,1.0,0.5,0.2,0.1,6,136.3
76,Jordan Battle,CIN,DB,SS,17,,784.0,95.6,50.3,44.4,3.5,0.9,5.0,0.7,0.8,0.4,0.0,0.1,12,136.0
77,Divine Deablo,ATL,LB,LILB,17,,744.0,97.3,44.4,51.5,6.3,1.7,3.0,0.3,0.8,0.4,0.0,0.1,6,135.7
78,Josh Metellus,MIN,DB,SS,17,,866.0,92.6,48.6,42.9,3.5,1.0,4.0,1.2,1.1,0.5,0.0,0.2,20,135.6
79,Trey Hendrickson,CIN,DL,DE,17,,740.0,63.4,20.3,28.6,5.5,14.9,4.0,0.2,0.8,0.4,0.2,0.1,5,135.2
80,Trevin Wallace,CAR,LB,LILB,17,,736.0,98.8,45.2,52.3,6.3,1.6,1.5,0.4,0.7,0.3,0.0,0.1,8,134.9
81,Alontae Taylor,NO,DB,CB,17,Q,931.0,81.1,41.9,37.0,2.4,2.6,12.3,0.9,0.8,0.4,0.0,0.1,16,134.4
82,Geno Stone,CIN,DB,SS,17,,988.0,82.8,44.0,38.8,2.9,0.1,5.0,3.4,1.1,0.5,0.0,0.4,54,134.4
83,Micah Parsons,GB,DL,DE,17,Q,787.0,71.2,24.5,34.6,6.7,11.7,1.9,0.3,1.0,0.5,0.2,0.1,7,134.3
84,Paulson Adebo,NYG,DB,LCB,17,,913.0,66.3,44.8,21.5,2.1,0.0,13.7,3.5,1.0,0.5,0.0,0.4,55,134.3
85,Alex Highsmith,PIT,LB,ROLB,17,,745.0,78.1,29.3,41.0,4.6,8.5,2.5,1.2,0.9,0.4,0.1,0.2,18,134.0
86,Alex Anzalone,DET,LB,SLB,17,,879.0,89.0,45.5,41.0,5.2,2.6,5.1,0.2,0.9,0.4,0.0,0.1,5,133.8
87,Harrison Smith,MIN,DB,SS,17,,947.0,85.8,44.6,39.4,3.0,1.7,7.8,0.9,1.2,0.6,0.0,0.1,16,133.3
88,Kobie Turner,LAR,DL,DE,17,,727.0,68.2,24.8,35.1,7.0,10.9,3.2,0.2,0.8,0.4,0.2,0.1,5,132.9
89,Xavier McKinney,GB,DB,FS,17,Q,943.0,76.7,42.0,34.0,2.7,0.7,8.6,2.9,1.2,0.6,0.0,0.3,45,132.8
90,Kyle Dugger,NE,DB,SS,17,,893.0,89.8,47.1,41.5,3.2,1.3,5.8,0.9,0.9,0.4,0.0,0.1,16,132.6
91,Jason Pinnock,SF,DB,FS,17,,920.0,84.7,45.6,36.9,2.9,2.9,2.8,1.0,1.1,0.6,0.1,0.2,18,130.8
92,Omar Speights,LAR,LB,RILB,17,,595.0,98.6,42.8,55.6,6.3,0.3,3.1,0.3,0.7,0.3,0.0,0.1,6,130.6
93,Marlon Humphrey,BAL,DB,RCB,17,,848.0,63.8,41.4,22.1,1.8,0.3,11.6,3.9,1.2,0.6,0.0,0.4,61,130.4
94,Taylor Rapp,BUF,DB,SS,17,,835.0,86.2,45.6,40.2,3.4,0.4,6.0,1.2,1.2,0.6,0.0,0.2,21,129.9
95,Kerby Joseph,DET,DB,FS,17,,967.0,71.2,39.3,31.9,2.5,0.0,8.7,4.0,1.0,0.5,0.0,0.5,63,129.7
96,Mack Wilson,ARI,LB,MLB,17,,734.0,81.5,36.8,40.6,5.0,4.7,3.3,0.8,0.8,0.4,0.1,0.1,14,129.6
97,Zach Sieler,MIA,DL,DE,17,,798.0,69.7,25.2,35.5,7.0,9.2,1.8,0.9,1.0,0.5,0.1,0.2,14,129.5
98,Nate Landman,LAR,LB,LILB,17,Q,631.0,93.9,43.0,49.8,6.0,1.4,1.4,0.5,0.7,0.4,0.0,0.1,8,128.8
99,Dorian Williams,BUF,LB,ROLB,17,,638.0,98.8,40.9,57.2,6.2,0.8,1.1,0.3,0.9,0.4,0.0,0.1,6,128.8
100,Edgerrin Cooper,GB,LB,ROLB,17,,569.0,85.2,33.7,47.1,5.0,4.2,3.9,1.0,0.7,0.3,0.1,0.2,15,128.7
101,Brian Burns,NYG,LB,OLB,17,,803.0,69.0,30.5,31.1,4.4,8.4,6.3,0.3,0.9,0.4,0.1,0.1,6,128.2
102,Byron Murphy,MIN,DB,CB,17,,940.0,69.7,37.0,32.7,1.9,0.0,12.3,3.3,1.2,0.6,0.0,0.4,52,128.1
103,D.J. Wonnum,CAR,LB,ROLB,17,,776.0,76.1,28.7,40.1,4.6,8.8,2.7,0.3,0.7,0.4,0.1,0.1,6,128.1
104,Mike Sainristil,WAS,DB,CB,17,,889.0,78.7,41.8,36.9,2.3,0.0,10.9,1.9,0.9,0.5,0.0,0.2,31,128.1
105,Deommodore Lenoir,SF,DB,LCB,17,Q,941.0,70.2,47.4,22.7,2.3,0.0,10.5,2.0,1.2,0.6,0.0,0.3,32,127.1
106,Will McDonald,NYJ,DL,DE,17,Q,679.0,59.5,19.9,28.0,5.4,13.5,2.4,0.5,0.7,0.3,0.2,0.1,8,126.9
107,Cam Taylor-Britt,CIN,DB,CB,17,,928.0,71.4,37.8,33.4,2.0,0.3,12.4,2.6,1.0,0.5,0.0,0.3,41,126.2
108,Trevon Diggs,DAL,DB,RCB,17,,957.0,67.3,43.9,23.4,2.2,0.1,12.8,2.0,1.1,0.5,0.0,0.3,33,125.4
109,Cameron Heyward,PIT,DL,DE,17,,710.0,68.9,25.9,36.6,7.4,6.9,5.8,0.3,0.8,0.4,0.1,0.1,6,124.9
110,Will Harris,WAS,DB,SS,17,,928.0,81.3,43.1,38.1,3.0,0.1,5.7,1.9,1.0,0.5,0.0,0.2,31,124.8
111,Kenny Moore,IND,DB,CB,17,,980.0,72.5,38.0,33.5,2.2,0.9,9.6,2.2,1.2,0.6,0.0,0.3,35,124.3
112,Jalen Pitre,HOU,DB,S,17,,871.0,81.0,51.0,30.0,3.0,0.1,6.8,0.5,0.9,0.5,0.0,0.1,10,124.0
113,Camryn Bynum,IND,DB,FS,17,,880.0,78.1,43.1,34.9,2.5,0.2,8.1,1.5,1.1,0.5,0.0,0.2,25,123.9
114,Demani Richardson,CAR,DB,FS,17,,770.0,81.2,44.8,36.2,3.1,0.2,5.2,1.8,0.7,0.4,0.0,0.2,28,123.4
115,Jaylon Jones,IND,DB,CB,17,,981.0,77.5,41.1,36.3,2.3,0.2,11.0,0.9,1.2,0.6,0.0,0.2,17,123.4
116,Josh Hines-Allen,JAC,DL,RDE,17,,744.0,55.3,23.8,21.0,5.5,12.1,2.1,0.6,0.7,0.4,0.2,0.1,10,123.1
117,Minkah Fitzpatrick,MIA,DB,FS,17,,984.0,84.8,46.8,37.9,2.9,0.1,4.8,0.6,1.2,0.6,0.0,0.1,13,123.0
118,Jartavius Martin,WAS,DB,FS,17,,917.0,81.6,44.7,36.2,3.0,0.7,2.7,1.8,0.9,0.5,0.0,0.2,29,123.0
119,Travon Walker,JAC,DL,DE,17,,768.0,66.7,24.2,34.2,6.7,9.5,1.5,0.2,0.8,0.4,0.1,0.1,5,122.1
120,DeForest Buckner,IND,DL,DT,17,Q,707.0,73.7,26.5,40.3,7.7,6.6,1.7,0.2,0.9,0.4,0.1,0.1,5,121.4
121,Charvarius Ward,IND,DB,LCB,17,,949.0,64.7,43.8,20.9,2.2,0.0,10.8,2.1,1.2,0.6,0.0,0.3,34,121.0
122,Jaylen Watson,KC,DB,CB,17,,862.0,73.2,37.7,33.3,2.1,2.2,11.2,0.6,0.9,0.5,0.0,0.1,10,120.2
123,Devon Witherspoon,SEA,DB,CB,17,,977.0,72.6,37.5,33.1,2.2,2.3,9.2,0.9,1.1,0.5,0.0,0.2,16,120.2
124,C.J. Gardner-Johnson,HOU,DB,SS,17,Q,910.0,69.7,37.0,32.7,2.5,0.0,8.4,2.7,0.9,0.5,0.0,0.3,42,118.9
125,Keisean Nixon,GB,DB,RCB,17,,913.0,67.2,42.7,22.8,2.1,1.7,8.5,1.3,1.1,0.6,0.0,0.2,21,118.8
126,L’Jarius Sneed,TEN,DB,RCB,17,Q,970.0,69.8,45.5,24.2,2.2,0.0,8.6,1.6,0.9,0.5,0.0,0.2,26,118.7
127,Riley Moss,DEN,DB,CB,17,,904.0,73.9,39.2,34.6,2.1,0.1,10.2,1.4,1.0,0.5,0.0,0.2,23,118.7
128,Chris Jones,KC,DL,DT,17,,825.0,65.9,22.5,34.2,6.6,9.2,0.9,0.4,0.9,0.4,0.1,0.1,7,118.7
129,SirVocea Dennis,TB,LB,RILB,17,,514.0,85.9,36.5,47.5,5.2,1.9,1.9,0.5,0.7,0.3,0.0,0.1,9,118.5
130,Dexter Lawrence,NYG,DL,NT,17,Q,741.0,64.9,23.7,33.7,6.7,8.6,1.6,0.3,0.8,0.4,0.1,0.1,6,118.3
131,Trent McDuffie,KC,DB,CB,17,,986.0,68.7,35.6,31.4,1.7,1.7,12.1,1.2,1.0,0.5,0.0,0.2,20,118.2
132,Derek Stingley Jr.,HOU,DB,CB,17,,925.0,60.6,32.2,28.4,1.7,0.0,14.0,3.1,1.0,0.5,0.0,0.4,49,117.9
133,Justin Madubuike,BAL,DL,DE,17,,700.0,61.4,21.7,30.7,6.1,9.7,1.5,0.3,1.0,0.5,0.1,0.1,6,117.4
134,Malik Hooker,DAL,DB,FS,17,,972.0,77.9,43.0,34.8,2.8,0.1,4.7,1.1,1.1,0.5,0.0,0.2,19,116.7
135,Jalen Ramsey,PIT,DB,RCB,17,,953.0,59.2,38.2,20.4,1.8,0.7,10.3,2.7,1.1,0.6,0.0,0.3,44,116.7
136,Isaiah Pola-Mao,LV,DB,FS,17,,856.0,78.0,42.7,34.5,2.7,0.9,4.0,1.0,1.0,0.5,0.0,0.2,18,116.6
137,Reed Blankenship,PHI,DB,FS,17,,879.0,72.7,40.2,32.5,2.6,0.1,5.6,2.2,1.0,0.5,0.0,0.3,35,116.6
138,Darnay Holmes,LV,DB,LCB,17,,746.0,59.6,39.2,18.8,1.8,1.7,8.8,2.6,0.8,0.4,0.0,0.3,40,116.1
139,Jaycee Horn,CAR,DB,RCB,17,Q,965.0,60.7,38.7,20.6,2.1,1.7,11.6,1.5,0.9,0.4,0.0,0.2,25,116.1
140,Kamari Lassiter,HOU,DB,CB,17,,900.0,69.1,36.7,32.4,2.1,0.0,11.2,1.7,0.9,0.5,0.0,0.2,27,115.9
141,Ji’Ayir Brown,SF,DB,SS,17,,827.0,75.6,40.1,35.4,2.8,0.1,5.3,1.5,1.0,0.5,0.0,0.2,25,115.6
142,Dante Fowler Jr.,DAL,DL,DE,17,,583.0,57.6,19.9,28.0,5.4,11.0,1.6,0.6,0.7,0.3,0.2,0.1,9,115.6
143,Brandon Stephens,NYJ,DB,SS,17,,930.0,71.8,37.8,33.3,1.8,0.8,8.0,1.6,1.0,0.5,0.0,0.2,26,115.5
144,Andre Cisco,NYJ,DB,FS,17,,907.0,69.8,38.4,31.1,2.4,0.3,6.5,2.2,0.9,0.5,0.0,0.3,36,115.4
145,Ifeatu Melifonwu,MIA,DB,SS,17,,676.0,64.9,32.0,28.2,2.2,4.8,4.2,1.8,0.8,0.4,0.1,0.2,30,114.6
146,Bryan Cook,KC,DB,FS,17,,883.0,75.5,41.7,33.7,2.4,0.1,5.3,1.4,0.9,0.5,0.0,0.2,23,114.6
147,Zach Allen,DEN,DL,DE,17,,875.0,65.8,24.4,34.5,6.9,6.9,1.7,0.3,1.0,0.5,0.1,0.1,6,114.2
148,Zyon McCollum,TB,DB,CB,17,,917.0,67.0,35.6,31.4,2.1,0.0,11.1,1.5,1.2,0.6,0.0,0.2,25,114.0
149,Leonard Williams,SEA,DL,DE,17,,692.0,61.6,22.8,32.1,6.4,7.5,2.8,0.6,0.8,0.4,0.1,0.1,9,114.0
150,Kamren Curl,LAR,DB,SS,17,,922.0,75.1,39.4,34.8,2.7,1.1,6.8,0.3,1.0,0.5,0.0,0.1,8,113.9
151,Christian Benford,BUF,DB,CB,17,,930.0,66.8,35.2,31.0,1.9,0.6,10.1,1.5,1.3,0.6,0.0,0.2,25,113.8
152,Trenton Simpson,BAL,LB,LILB,17,,581.0,79.9,36.5,42.3,5.1,1.3,3.2,0.3,0.9,0.4,0.0,0.1,6,113.8
153,Jared Verse,LAR,LB,ROLB,17,Q,730.0,71.5,28.1,39.3,4.7,5.4,2.2,0.4,0.8,0.4,0.1,0.1,8,113.6
154,Sydney Brown,PHI,DB,SS,17,,860.0,73.5,38.9,34.4,2.7,0.2,6.0,1.4,0.9,0.5,0.0,0.2,23,113.1
155,Alohi Gilman,LAC,DB,FS,17,,932.0,72.9,39.9,32.3,2.4,0.7,5.9,1.1,1.0,0.5,0.0,0.2,19,113.1
156,Devin Bush Jr.,CLE,LB,ROLB,17,,536.0,83.3,34.2,47.9,5.5,1.3,2.7,0.3,0.6,0.3,0.0,0.1,6,113.0
157,Danielle Hunter,HOU,DL,DE,17,,710.0,61.1,20.9,29.4,5.7,9.5,2.7,0.2,0.7,0.4,0.1,0.1,4,112.9
158,Tarheeb Still,LAC,DB,CB,17,,839.0,61.4,32.3,28.5,1.7,0.6,10.2,2.9,0.9,0.4,0.0,0.3,45,112.7
159,Michael Carter,NYJ,DB,RCB,17,,906.0,69.6,45.4,24.2,2.3,0.1,8.9,0.4,0.9,0.5,0.0,0.1,8,112.4
160,Carl Granderson,NO,DL,DE,17,,720.0,64.1,24.1,33.9,6.8,6.9,2.7,0.3,0.6,0.3,0.1,0.1,5,112.2
161,Eric Murray,JAC,DB,SS,17,,808.0,71.5,37.5,33.2,2.6,0.9,8.1,0.9,0.8,0.4,0.0,0.1,16,112.2
162,Leonard Floyd,ATL,LB,OLB,17,,569.0,53.6,21.7,22.1,3.0,12.3,1.6,0.2,0.6,0.3,0.2,0.1,5,112.1
163,Tyson Campbell,JAC,DB,RCB,17,,906.0,66.4,43.3,23.1,2.1,0.0,9.3,1.0,0.9,0.5,0.0,0.2,18,112.0
164,Adam Butler,LV,DL,DT,17,,778.0,68.1,25.0,38.0,7.3,5.3,1.4,0.3,0.9,0.4,0.1,0.1,6,111.3
165,George Karlaftis,KC,DL,DE,17,,828.0,56.9,19.8,27.9,5.5,9.3,3.6,0.2,0.9,0.4,0.1,0.1,5,111.1
166,Dre Greenlaw,DEN,LB,LILB,17,,520.0,82.1,37.6,43.6,5.3,0.9,2.2,0.2,0.6,0.3,0.0,0.1,4,111.1
167,Calijah Kancey,TB,DL,DE,17,,697.0,61.3,21.8,30.8,6.1,8.2,1.2,0.4,0.9,0.5,0.1,0.1,7,110.9
168,Jourdan Lewis,JAC,DB,CB,17,,841.0,69.0,36.4,32.1,2.0,0.6,8.9,1.2,0.8,0.4,0.0,0.2,20,110.7
169,Will Anderson,HOU,DL,DE,17,,647.0,61.2,21.0,29.7,5.7,9.2,1.7,0.2,0.7,0.3,0.1,0.1,4,110.3
170,Juan Thornhill,PIT,DB,SS,17,,674.0,78.3,41.5,36.6,3.0,0.1,4.5,0.4,0.8,0.4,0.0,0.1,7,109.8
171,Khalil Mack,LAC,LB,OLB,17,,613.0,52.5,21.7,22.1,3.1,10.1,5.7,0.2,0.6,0.3,0.1,0.1,4,109.7
172,Akeem Davis-Gaither,ARI,LB,LILB,17,,537.0,77.0,35.6,41.3,4.8,0.2,3.7,1.0,0.6,0.3,0.0,0.2,15,109.7
173,Jaden Hicks,KC,DB,SS,17,,729.0,64.8,34.3,30.3,2.1,0.2,5.7,3.0,0.8,0.4,0.0,0.3,47,109.7
174,A.J. Terrell,ATL,DB,CB,17,,971.0,67.8,36.0,31.7,2.1,0.0,8.8,1.3,1.0,0.5,0.0,0.2,22,109.3
175,Christian Elliss,NE,LB,RILB,17,,518.0,76.9,32.8,42.6,4.9,1.7,3.0,0.7,0.5,0.3,0.0,0.1,10,109.2
176,James Williams,TEN,LB,LILB,17,,524.0,80.5,37.1,43.0,5.1,0.6,2.0,0.4,0.5,0.3,0.0,0.1,7,109.0
177,Dax Hill,CIN,DB,CB,17,,823.0,67.0,34.9,30.8,2.0,1.5,8.8,0.8,0.9,0.4,0.0,0.1,14,108.8
